,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
63,"VINEGAR,DISTILLED",94.78,18,0.0,0.0,0.02,0.04,0.0,0.04,6.0,0.03,1.0,4.0,2.0,2.0,0.01,0.006,0.055,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"HORSERADISH,PREPARED",85.08,48,1.18,0.69,1.76,11.29,3.3,7.99,56.0,0.42,27.0,31.0,246.0,420.0,0.83,0.058,0.126,2.8,24.9,0.008,0.024,0.386,0.093,0.073,57.0,0.0,57.0,57.0,6.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.01,0.0,0.0,1.3,0.09,0.13,0.339,0.0
65,"BABYFOOD,MEAT,BF,STR",82.44,81,12.03,2.52,0.57,2.43,0.0,0.0,5.0,0.98,11.0,93.0,187.0,41.0,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8.0,0.0,8.0,8.0,37.6,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.4,15.0,0.6,1.18,0.95,0.16,51.0
66,"BABYFOOD,MEAT,BF,JR",82.44,81,12.03,2.52,0.57,2.43,0.0,0.0,5.0,0.98,11.0,93.0,187.0,41.0,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8.0,0.0,8.0,8.0,37.6,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.4,15.0,0.6,1.18,0.95,0.16,51.0
67,"BABYFOOD,MEAT,VEAL,STR",82.37,81,13.12,2.45,0.54,1.51,0.0,0.0,6.0,0.76,11.0,98.0,170.0,39.0,2.5,0.148,0.037,3.5,0.0,0.023,0.116,2.85,0.155,0.049,5.0,0.0,5.0,5.0,49.5,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.7,26.0,0.0,1.063,1.054,0.157,33.0
68,"BABYFOOD,MEAT,LAMB,STR",81.06,87,14.07,3.41,0.6,0.85,0.0,0.0,7.0,1.19,13.0,104.0,193.0,43.0,2.43,0.148,0.037,2.2,1.2,0.02,0.174,2.908,0.112,0.037,0.0,0.0,0.0,0.0,54.7,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,4.0,0.6,1.65,1.27,0.31,36.0
69,"BABYFOOD,MEAT,TURKEY,STR",80.32,111,11.5,6.2,0.58,1.4,0.0,0.0,41.0,0.7,12.0,117.0,135.0,49.0,1.77,0.148,0.037,12.0,2.2,0.008,0.163,2.61,0.41,0.029,8.0,0.0,8.0,8.0,39.8,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,34.0,0.0,1.641,2.384,1.741,58.0
70,"BABYFOOD,MEAT,TURKEY,JR",80.32,111,11.5,6.2,0.58,1.4,0.0,0.0,41.0,0.7,12.0,117.0,135.0,49.0,1.77,0.148,0.037,12.0,0.0,0.008,0.163,2.61,0.41,0.029,8.0,0.0,8.0,8.0,39.8,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.8,34.0,0.0,1.641,2.384,1.741,58.0
71,"Babyfood, meat, turkey sticks, junior",69.8,188,13.7,14.2,0.9,1.4,0.2,1.4,83.0,0.92,10.0,120.0,120.0,295.0,2.4,0.148,0.037,13.5,1.5,0.008,0.181,1.94,0.381,0.023,11.0,0.0,11.0,11.0,53.3,1.3,19.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.4,15.0,0.0,4.143,4.671,3.615,65.0
72,"BABYFOOD,H2O,BTLD,GERBER,WO/ ADDED FLUORIDE.",99.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"BABYFOOD,GERBER,3RD FOODS,APPL,MANGO & KIWI",86.34,53,0.47,0.0,0.32,12.88,2.0,10.18,9.0,0.17,6.0,11.0,123.0,2.0,0.06,0.061,0.089,0.3,23.3,0.018,0.018,0.25,0.093,0.059,14.0,0.0,14.0,14.0,4.5,0.0,294.0,15.0,0.0,2.0,170.0,10.0,1.0,30.0,0.41,0.0,0.0,5.9,0.0,0.0,0.0,0.0
74,"BABYFOOD,TROPICAL FRUIT MEDLEY",87.14,51,0.31,0.14,0.19,12.22,1.3,9.78,0.0,0.0,5.0,11.0,141.0,0.0,0.05,0.035,0.039,0.0,15.9,0.019,0.027,0.138,0.076,0.039,2.0,0.0,2.0,2.0,3.6,0.0,88.0,4.0,0.0,0.0,46.0,14.0,0.0,20.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0
75,"BABYFOOD,DINNER,PASTA W/VEG",87.3,60,1.7,2.1,0.41,8.4,1.5,1.2,14.0,0.5,24.0,50.0,133.0,11.0,0.4,0.11,0.39,6.4,2.9,0.06,0.05,0.56,0.178,0.11,9.0,0.0,9.0,9.0,6.4,0.0,555.0,41.0,16.0,39.0,282.0,0.0,290.0,341.0,0.23,0.0,0.0,2.1,1.23,0.58,0.144,5.0
76,"BABYFOOD,DINNER,MACARONI&CHS,STR",85.25,67,3.14,2.11,0.55,8.95,0.7,1.27,66.0,0.21,8.0,86.0,67.0,119.0,0.4,0.02,0.09,3.8,0.1,0.038,0.076,0.516,0.176,0.036,11.0,6.0,5.0,15.0,10.5,0.27,56.0,15.0,14.0,0.0,5.0,0.0,0.0,0.0,0.02,0.0,2.0,0.2,1.291,0.581,0.103,7.0
77,"BABYFOOD,GRN BNS,DICES,TODD",92.6,29,1.2,0.2,0.4,5.7,1.3,1.06,27.0,0.4,19.0,22.0,116.0,37.0,0.1,0.03,0.08,0.4,1.7,0.02,0.04,0.23,0.051,0.03,32.0,0.0,32.0,32.0,22.6,0.0,481.0,24.0,0.0,0.0,288.0,0.0,0.0,487.0,0.31,0.0,0.0,11.0,0.044,0.008,0.102,0.0
78,"BABYFOOD,VEG,GRN BNS&POTATOES",86.2,62,2.2,1.9,0.7,9.0,1.4,2.35,60.0,0.5,20.0,61.0,148.0,18.0,0.3,0.04,0.28,0.7,1.1,0.04,0.11,0.46,0.286,0.08,10.0,0.0,10.0,10.0,10.0,0.15,85.0,14.0,12.0,0.0,28.0,0.0,0.0,50.0,0.08,0.0,0.0,1.4,1.117,0.539,0.132,5.0
79,"BABYFOOD,POTATOES,TODDLER",86.8,52,1.0,0.1,0.37,11.73,0.9,0.91,4.0,0.2,15.0,23.0,110.0,57.0,0.17,0.07,0.07,0.8,10.5,0.02,0.01,0.35,0.305,0.07,6.0,0.0,6.0,6.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.2,0.015,0.002,0.025,0.0
80,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",83.14,66,0.37,0.1,0.26,16.16,1.6,4.35,5.0,0.24,9.0,12.0,131.0,3.0,0.05,0.04,0.1,0.4,17.3,0.01,0.031,0.163,0.135,0.1,3.0,0.0,3.0,3.0,4.9,0.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,0.02,0.0,0.0,0.3,0.04,0.01,0.05,0.0
81,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",79.0,83,0.9,0.22,0.57,19.31,1.4,12.76,5.0,0.3,25.0,19.0,233.0,2.0,0.1,0.08,0.082,0.6,13.9,0.01,0.03,0.55,0.145,0.29,5.0,0.0,5.0,5.0,7.1,0.0,56.0,3.0,0.0,15.0,23.0,6.0,0.0,10.0,0.08,0.0,0.0,0.6,0.106,0.028,0.085,0.0
82,"BABYFOOD,DSSRT,DUTCH APPL,JR",80.32,79,0.2,0.16,0.14,19.18,1.4,17.89,3.0,0.11,4.0,7.0,67.0,3.0,0.03,0.03,0.02,0.2,18.0,0.01,0.012,0.048,0.017,0.017,0.0,0.0,0.0,0.0,2.5,0.0,18.0,1.0,0.0,0.0,8.0,6.0,0.0,11.0,0.04,0.0,0.0,0.5,0.025,0.006,0.045,0.0
83,"BABYFOOD,CHERRY COBBLER,JR",79.8,78,0.3,0.1,0.19,19.2,0.2,10.39,5.0,0.1,2.0,6.0,45.0,0.0,0.05,0.01,0.02,0.9,9.3,0.01,0.01,0.06,0.043,0.02,2.0,0.0,2.0,2.0,1.5,0.0,31.0,2.0,0.0,0.0,19.0,0.0,0.0,20.0,0.03,0.0,0.0,0.5,0.02,0.02,0.03,0.0
84,"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR",79.31,86,1.76,0.98,0.37,17.58,0.2,12.2,54.0,0.22,5.0,55.0,68.0,26.0,0.3,0.01,0.01,2.4,0.4,0.012,0.054,0.076,0.232,0.03,6.0,0.0,6.0,6.0,29.9,0.23,47.0,13.0,13.0,1.0,1.0,1.0,0.0,39.0,0.09,0.5,19.0,0.0,0.325,0.364,0.128,38.0
85,"BABYFOOD,JUC,FRUIT PUNCH,W/CA",86.5,52,0.2,0.1,0.52,12.7,0.4,10.6,64.0,0.3,7.0,11.0,86.0,4.0,0.04,0.02,0.09,0.1,21.2,0.01,0.02,0.1,0.056,0.05,1.0,0.0,1.0,1.0,2.2,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,0.01,0.0,0.0,0.1,0.02,0.004,0.029,0.0
86,"BABYFOOD,JUC,APPL,W/CA",88.3,46,0.06,0.1,0.48,11.1,0.4,9.0,127.0,0.2,6.0,8.0,92.0,3.0,0.03,0.01,0.29,0.1,21.2,0.02,0.02,0.08,0.06,0.03,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.005,0.032,0.0
87,"BABYFOOD,APPLS W/HAM,STR",85.3,62,2.6,0.9,0.3,10.9,1.8,7.98,4.0,0.3,7.0,34.0,120.0,9.0,0.4,0.04,0.02,4.6,0.1,0.06,0.06,0.73,0.097,0.07,2.0,0.0,2.0,2.0,11.8,0.02,6.0,0.0,0.0,0.0,3.0,2.0,0.0,14.0,0.07,0.1,3.0,0.5,0.25,0.36,0.111,8.0
88,"BABYFOOD,DINNER,APPLS&CHICK,STR",85.4,65,2.16,1.38,0.18,10.88,1.8,6.06,18.0,0.38,6.0,32.0,95.0,12.0,0.36,0.04,0.03,2.5,0.2,0.02,0.057,0.577,0.098,0.083,1.0,0.0,1.0,1.0,9.1,0.02,30.0,2.0,0.0,0.0,13.0,10.0,0.0,16.0,0.07,0.0,1.0,0.6,0.347,0.411,0.35,5.0
89,"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD",81.5,78,3.5,2.0,1.03,11.97,1.2,0.8,53.0,0.4,14.0,108.0,143.0,205.0,0.6,0.06,0.018,5.5,0.1,0.05,0.1,1.06,0.345,0.16,6.0,0.0,6.0,6.0,15.4,0.07,31.0,8.0,8.0,0.0,3.0,0.0,0.0,5.0,0.02,0.0,1.0,1.3,1.1,0.733,0.163,6.0
90,"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",82.19,84,3.73,3.26,0.87,9.94,0.6,5.1,162.0,3.49,18.0,110.0,151.0,43.0,0.57,0.057,0.004,5.6,0.2,0.242,0.353,2.707,0.384,0.06,7.0,0.0,7.0,7.0,16.6,0.42,150.0,43.0,42.0,0.0,6.0,0.0,0.0,12.0,0.43,1.2,47.0,0.4,1.76,0.802,0.309,10.0
91,"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",81.81,86,3.82,3.46,0.92,10.0,0.4,5.9,153.0,3.63,18.0,111.0,178.0,48.0,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.345,0.065,6.0,0.0,6.0,6.0,15.4,0.43,155.0,43.0,42.0,2.0,8.0,0.0,0.0,12.0,0.44,1.2,47.0,0.5,1.808,0.859,0.342,10.0
92,"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",81.81,86,3.82,3.46,0.92,10.0,0.4,5.9,153.0,3.63,18.0,111.0,178.0,48.0,0.49,0.053,0.004,4.9,0.4,0.315,0.437,1.605,0.345,0.104,6.0,0.0,6.0,6.0,15.4,0.43,155.0,43.0,42.0,2.0,8.0,0.0,0.0,12.0,0.44,1.2,47.0,0.5,1.82,0.859,0.345,10.0
93,"BABYFOOD,CRL,RICE,PREP W/WHL MILK",81.96,85,3.45,3.38,0.89,10.31,0.0,4.87,168.0,3.63,25.0,122.0,151.0,42.0,0.49,0.048,0.004,4.3,0.2,0.243,0.324,2.449,0.345,0.069,6.0,0.0,6.0,6.0,14.6,0.41,150.0,42.0,42.0,0.0,6.0,0.0,0.0,0.0,0.44,1.2,47.0,0.2,1.793,0.846,0.333,10.0
94,"INFANT FORMULA,MEAD JOHNSON,ENFAMIL,LO IRON,RTF",88.0,63,1.38,3.5,0.32,7.18,0.0,7.18,51.0,0.46,5.0,35.0,71.0,18.0,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.294,0.04,11.0,11.0,0.0,18.0,8.0,0.19,193.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.87,1.0,40.0,5.2,1.479,1.291,0.689,1.0
95,"INF FORMULA, MEAD JOHN, ENFAMIL LIPIL,W/ IRON,RTF,W/ AR & DH",88.35,64,1.38,3.5,0.32,7.1,0.0,7.1,51.0,1.18,5.0,35.0,71.0,18.0,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.33,0.04,11.0,11.0,0.0,18.0,8.0,0.19,193.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.87,1.0,40.0,5.2,1.453,1.255,0.67,1.0
96,"INF FORMULA, ABBO NUTR, SIMIL,ISOMI,W/ IRON,RTF",87.54,66,1.61,3.59,0.66,6.7,0.0,6.7,69.0,1.18,5.0,49.0,71.0,29.0,0.49,0.049,0.016,1.4,5.9,0.039,0.059,0.887,0.493,0.039,10.0,10.0,0.0,17.0,8.0,0.3,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,39.0,7.2,1.166,1.371,0.838,0.0
97,"INF FORMULA, ABBOTT NUTR, SIMILAC, ALIMENTUM, W/ IRON,RTF",87.32,66,1.8,3.63,0.48,6.77,0.0,4.4,69.0,1.18,5.0,49.0,77.0,29.0,0.49,0.049,0.006,1.2,5.9,0.039,0.059,0.885,0.491,0.039,10.0,10.0,0.0,17.0,8.0,0.3,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,0.7,29.0,9.8,1.838,0.294,1.113,1.0
98,"INF FORMULA, ABBOTT NUTR, SIMILAC, W/ IRON, RTF",87.79,65,1.36,3.55,0.38,6.92,0.0,6.9,51.0,1.18,4.0,28.0,69.0,16.0,0.49,0.059,0.003,1.2,5.9,0.066,0.099,0.69,0.296,0.039,10.0,10.0,0.0,17.0,8.0,0.16,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,39.0,5.3,1.237,1.314,0.801,2.0
99,"INF FORMULA, ABBOTT NUTR, SIMILAC, LO IRON, RTF",87.79,65,1.36,3.55,0.38,6.93,0.0,6.93,51.0,0.14,4.0,28.0,69.0,16.0,0.49,0.059,0.003,1.4,5.9,0.066,0.099,0.69,0.296,0.039,10.0,10.0,0.0,17.0,11.0,0.16,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,39.0,5.3,1.237,1.314,0.801,2.0
100,"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",80.47,99,2.86,4.77,0.75,11.15,0.0,10.5,93.0,1.34,19.0,76.0,125.0,36.0,1.15,0.095,0.239,2.2,9.5,0.258,0.201,1.614,0.955,0.248,35.0,36.0,0.0,60.0,29.0,0.57,246.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,1.46,1.2,48.0,3.6,1.256,1.936,1.068,2.0
101,"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",80.47,99,2.8,4.7,0.75,11.28,0.5,7.6,92.0,1.32,19.0,80.0,124.0,36.0,0.56,0.106,0.144,3.0,9.6,0.256,0.2,0.96,0.96,0.248,28.0,28.0,0.0,48.0,28.4,0.56,152.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,1.46,1.2,48.0,5.6,1.256,1.936,1.067,2.0
102,"INF FORMULA,MEAD JOHNSON,NEXT STEP PROSOBEE,PREP FROM PDR",86.41,67,2.14,2.91,0.46,8.08,0.0,7.77,128.0,1.31,7.0,85.0,79.0,23.0,0.79,0.05,0.033,1.8,7.9,0.052,0.059,0.66,0.33,0.04,11.0,11.0,0.0,18.0,8.0,0.19,194.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.87,1.0,40.0,5.2,1.243,1.078,0.544,0.0
103,"INF FORM, ABBO NUTR, SIMIL, ALIMENT, ADVAN, RTF,W/ ARA & DHA",87.32,67,1.8,3.63,0.48,6.77,0.0,4.4,69.0,1.18,5.0,49.0,77.0,29.0,0.49,0.049,0.006,1.2,5.9,0.039,0.059,0.885,0.491,0.039,10.0,10.0,0.0,17.0,8.0,0.3,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,0.7,29.0,9.8,1.838,0.294,1.126,1.0
104,"INF FORM,ABBOT NUT,SIMIL NEOSU,RTF,W/ ARA & DHA",87.0,69,1.92,3.77,0.38,6.94,0.0,6.9,72.0,1.23,6.0,42.0,97.0,23.0,0.82,0.082,0.006,1.6,10.3,0.151,0.102,1.336,0.548,0.068,17.0,17.0,0.0,29.0,11.0,0.27,315.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,1.11,1.2,48.0,7.5,2.447,0.387,0.844,2.0
105,"INF FORMULA, ABB NUTR, SIMI,SENS (LACT FRE) RTF,W/ ARA & DHA",87.0,68,1.48,3.74,0.75,7.4,0.0,7.4,58.0,1.24,3.0,39.0,74.0,21.0,0.52,0.06,0.003,1.2,6.0,0.069,0.104,0.726,0.311,0.042,10.0,10.0,0.0,18.0,11.1,0.17,208.0,62.0,62.0,0.0,0.0,0.0,0.0,0.0,0.93,1.0,40.0,5.5,2.43,0.384,0.832,2.0
106,"INF FORMULA, ABBOTT NUTR, SIMILAC, ADVANCE, W/ IRON, RTF",87.79,66,1.36,3.7,0.38,6.77,0.0,6.9,53.0,1.18,4.0,28.0,69.0,16.0,0.49,0.059,0.003,1.2,5.9,0.066,0.099,0.69,0.296,0.039,10.0,10.0,0.0,17.0,8.0,0.16,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,39.0,5.3,1.237,1.314,0.801,2.0
107,"INF FORMULA, ABBO NUTR,SIMIL,ISOMIL, ADVANCE W/ IRON,RTF",87.54,66,1.61,3.59,0.66,6.7,0.0,6.7,69.0,1.18,5.0,49.0,71.0,29.0,0.49,0.049,0.016,1.4,5.9,0.039,0.059,0.887,0.493,0.039,10.0,10.0,0.0,17.0,8.0,0.3,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,1.32,1.0,39.0,7.2,1.166,1.371,0.838,0.0
108,"INF FORMULA,MEAD JOHNSON,ENFAMIL,ENFACARE LIPIL,RTF, ARA&DHA",86.0,71,2.0,3.8,0.8,7.4,0.0,7.4,86.0,1.28,6.0,47.0,75.0,25.0,0.88,0.086,0.011,2.0,11.3,0.141,0.141,1.423,0.605,0.071,19.0,19.0,0.0,31.0,17.1,0.21,193.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,1.32,1.4,57.0,5.7,1.578,1.33,0.862,1.0
109,"BABYFOOD,YOG,WHL MILK,W/ FRUIT,MULTIG CRL & ADD DHA FORT",79.16,98,3.4,3.53,0.69,13.22,0.3,11.46,107.0,0.15,15.0,95.0,149.0,41.0,0.59,0.023,0.101,2.8,1.4,0.047,0.129,0.119,0.354,0.034,8.0,0.0,8.0,8.0,14.2,0.32,86.0,24.0,23.0,0.0,5.0,0.0,0.0,6.0,0.07,0.1,3.0,0.3,1.84,0.916,0.367,14.0
110,"BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER",88.97,48,1.11,1.47,0.98,7.47,1.2,1.17,20.0,0.16,8.0,24.0,118.0,176.0,0.16,0.06,0.056,0.5,1.5,0.03,0.02,0.419,0.194,0.089,6.0,0.0,6.0,6.0,5.8,0.01,84.0,13.0,11.0,2.0,28.0,0.0,0.0,98.0,0.09,0.0,0.0,8.1,0.875,0.37,0.092,4.0
111,"INFFORM,MEADJOHNSON,ENFAMIL GENTLEASE LIPIL,W/IRON,PREPFRPDR",88.4,63,1.52,3.5,0.19,6.39,0.0,6.44,53.0,1.18,5.0,30.0,71.0,21.0,0.66,0.05,0.01,1.8,7.9,0.052,0.092,0.66,0.33,0.039,10.0,10.0,0.0,18.0,15.7,0.21,194.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.63,1.0,40.0,5.2,1.5,1.3,0.7,0.0
112,"BABYFOOD,YOGU,WHL MILK,W/ FRUI,MULTIGRA CRL & ADD IRON FORT",80.21,92,3.05,3.08,0.65,13.0,0.6,11.46,98.0,4.18,15.0,86.0,143.0,38.0,0.54,0.031,0.064,2.4,3.6,0.048,0.12,0.119,0.333,0.036,7.0,0.0,7.0,7.0,13.4,0.29,82.0,22.0,21.0,0.0,7.0,1.0,0.0,13.0,0.09,0.0,2.0,0.9,1.582,0.74,0.405,10.0
113,"INF FORMULA, MEAD JOHNS, ENFAMIL, ENFAGROW, GENTLEA,TOD, RTF",87.78,66,1.71,3.5,0.63,6.9,0.0,6.9,128.0,1.31,5.0,85.0,85.0,26.0,0.66,0.049,0.01,1.8,7.9,0.053,0.092,0.657,0.328,0.039,11.0,11.0,0.0,18.0,15.8,0.2,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,39.0,5.9,1.602,0.031,0.744,0.0
114,"INF FORMULA, MEAD JOHNSON, ENFAMIL, ENFAGROW, SOY, TODD RTF",86.67,65,2.17,2.89,0.63,7.64,0.0,7.64,128.0,1.31,7.0,85.0,79.0,24.0,0.79,0.049,0.033,1.8,7.9,0.053,0.059,0.657,0.328,0.039,11.0,11.0,0.0,18.0,15.8,0.2,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,39.0,5.3,0.855,0.727,0.38,0.0
115,"INF FORMULA,MEAD JOHNSON,ENFAMIL,NUTRAMIGEN AA,RTF",87.78,66,1.84,3.48,0.2,6.76,0.0,6.76,62.0,1.18,7.0,34.0,72.0,31.0,0.66,0.049,0.039,1.8,7.9,0.053,0.059,0.657,0.328,0.039,11.0,11.0,0.0,18.0,15.8,0.2,197.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.59,0.8,33.0,5.3,1.592,0.031,0.741,0.0
116,"INF FORMULA,MEAD JOHNSON,ENFAMIL,PREMIUM,NEWBORN,RTF",87.78,66,1.38,3.48,0.32,7.39,0.0,7.39,51.0,1.18,5.0,28.0,71.0,18.0,0.66,0.049,0.009,1.8,7.9,0.053,0.092,0.657,0.328,0.039,11.0,11.0,0.0,18.0,15.8,0.2,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.63,1.2,49.0,5.9,1.001,0.896,0.467,0.0
117,"INF FORMULA, GERBER, GOOD START 2 SOY,W/ IRON,RTF",87.68,65,1.84,3.28,0.3,7.15,0.0,7.14,125.0,1.31,7.0,70.0,76.0,26.0,0.59,0.049,0.033,2.0,7.9,0.039,0.062,0.689,0.328,0.039,10.0,10.0,0.0,17.0,15.7,0.2,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,39.0,5.9,1.399,1.187,0.694,0.0
118,"INF FORMULA,GERBER,GOOD START,PROTECT PLUS,RTF",87.86,65,1.44,3.36,0.16,7.17,0.0,7.17,44.0,0.98,5.0,25.0,71.0,18.0,0.52,0.08,0.01,3.0,10.0,0.066,0.092,0.689,0.295,0.049,10.0,10.0,0.0,17.0,15.7,0.0,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,39.0,5.2,1.443,1.252,0.667,0.0
119,"INF FORMULA,GERBER GOOD START 2,GENTLE PLUS,RTF",87.5,66,1.44,3.34,0.27,7.61,0.0,7.61,125.0,1.31,0.0,70.0,71.0,18.0,0.52,0.052,0.01,2.0,7.9,0.066,0.092,0.689,0.295,0.049,10.0,10.0,0.0,17.0,15.8,0.22,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,39.0,5.2,0.975,0.846,0.451,0.0
120,"INF FORMULA, GERBER, GOOD START 2,PROTECT PLUS, RTF",87.86,66,1.44,3.37,0.16,7.39,0.0,7.34,44.0,0.98,5.0,25.0,71.0,18.0,0.52,0.08,0.01,3.0,10.0,0.066,0.092,0.689,0.295,0.049,10.0,10.0,0.0,17.0,15.7,0.0,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.59,1.0,39.0,5.2,1.443,1.252,0.667,0.0
121,"INF FORMULA, ABBO NU,SIMIL,GO & GR,RTF,W/ ARA & DHA",87.21,66,1.97,3.54,0.34,6.69,0.0,6.69,128.0,1.31,6.0,85.0,98.0,20.0,0.49,0.059,0.003,1.2,7.9,0.066,0.098,0.689,0.295,0.039,10.0,10.0,0.0,17.0,10.5,0.2,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,39.0,5.2,1.018,0.911,0.476,0.0
122,"INF FORMU, ABBO NUTR, SIMIL, EXPERT CARE, DIARRH RT",87.78,66,1.76,3.6,0.22,6.67,0.7,6.66,69.0,1.18,5.0,49.0,71.0,29.0,0.49,0.049,0.016,1.2,5.9,0.039,0.059,0.885,0.492,0.039,10.0,10.0,0.0,17.0,7.9,0.3,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,39.0,7.2,1.477,1.293,0.685,0.0
123,"INF FORMULA, ABBO NUTR, SIMIL, FOR SPIT UP, RTF,W/ ARA & DHA",87.87,66,1.4,3.54,0.18,7.19,0.0,7.19,55.0,1.18,4.0,37.0,70.0,20.0,0.49,0.059,0.003,1.2,5.9,0.066,0.098,0.689,0.295,0.039,10.0,10.0,0.0,17.0,10.6,0.16,199.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.89,1.0,39.0,5.2,2.3,0.364,0.793,0.0
