,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
360,"PORK,FRSH,LOIN,TOP LOIN (CHOPS),BNLESS,LN & FAT,CKD,BRSD",62.44,200,29.2,8.31,1.31,0,0,0,12,0.88,23,221,261,66,2.29,0.089,0.01,40.3,0,0.526,0.238,9.905,1.03,0.537,0,0,0,0,100,0.67,11,3,3,0,0,0,0,0,0.24,1,38,0,3.218,3.625,1.29,72,1
361,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,CKD,RSTD",63.76,192,26.45,8.82,0.98,0,0,0,7,0.64,25,223,349,46,2.11,0.077,0.007,34.9,0,0.547,0.232,7.104,0.674,0.692,0,0,0,0,75.5,0.58,4,1,1,0,0,0,0,0,0.11,0.5,20,0,2.839,3.517,0.999,80,1
362,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN,CKD,RSTD",65.6,173,27.23,6.28,1.01,0,0,0,6,0.64,26,227,357,47,2.16,0.079,0.007,35.8,0,0.561,0.237,7.277,0.684,0.713,0,0,0,0,77.3,0.55,0,0,0,0,0,0,0,0,0.1,0.4,18,0,1.927,2.464,0.631,79,1
363,"PORK,FRSH,SHLDR,ARM PICNIC,LN&FAT,CKD,BRSD",60.03,235,24.88,14.33,1.08,0,0,0,16,0.92,22,240,357,96,3.1,0.107,0.022,29.4,0,0.439,0.322,5.308,1.197,0.346,5,0,5,5,103.4,0.74,13,4,4,0,0,0,0,0,0.26,1.1,45,0,4.854,6.173,2.783,86,1
364,"PORK,FRSH,SHLDR,ARM PICNIC,LN,CKD,BRSD",63.59,194,26.76,8.87,1.15,0,0,0,16,0.97,23,254,382,100,3.35,0.109,0.023,31.2,0,0.463,0.335,5.538,1.27,0.362,5,0,5,5,110.9,0.76,6,2,2,0,0,0,0,0,0.29,1,42,0,2.85,3.767,1.859,87,1
365,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN & FAT,RAW",69.18,186,17.42,12.36,0.83,0,0,0,16,1.12,20,190,318,61,3.09,0.096,0.011,26.2,0,0.52,0.353,4.239,1.447,0.486,0,0,0,0,73.3,0.91,8,2,2,0,0,0,0,0,0.22,0.7,30,0,4.348,5.206,1.597,62,1
366,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STKS),LN & FAT,CKD,BRSD",54.95,267,25.07,17.69,0.82,0,0,0,26,1.75,23,208,305,58,4.84,0.129,0.012,42.4,0,0.501,0.365,3.872,1.29,0.448,0,0,0,0,102.3,0.93,8,2,2,0,0,0,0,0,0.12,1.2,47,0,6.584,7.987,2.072,98,1
367,"PORK,FRSH,SHLDR,(BOSTON BUTT),BLADE (STEAKS),LN,RAW",74.31,132,18.73,5.71,0.88,0,0,0,14,1.2,22,202,339,65,3.36,0.102,0.013,28.2,0,0.558,0.384,4.387,1.567,0.521,0,0,0,0,78.8,0.91,0,0,0,0,0,0,0,0,0.24,0.6,22,0,1.998,2.484,0.62,60,1
368,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN,CKD,PAN-FRIED",61.13,222,26.38,12.14,1.28,0,0,0,46,0.88,21,237,335,88,3.03,0.105,0.012,38.7,0,0.506,0.353,8.628,1.212,0.501,0,0,0,0,85,0.72,10,3,3,0,0,0,0,0,0.22,0.6,23,0,2.557,5.744,1.079,82,1
369,"CANADIAN BACON,UNPREP",72.34,110,20.31,2.62,3.38,1.34,0,0.9,6,0.44,20,240,683,751,1.23,0.053,0.015,37.1,0,0.511,0.141,7.227,0.61,0.241,4,0,4,4,76.1,0.37,0,0,0,0,0,0,0,0,0.22,0.1,6,0,0.9,1.09,0.467,48,2
370,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,FEET,CKD,SIMMRD",62.85,238,21.94,16.05,0.66,0,0,0,0,0.98,5,82,33,73,1.05,0.062,0.018,23,0,0.016,0.057,0.585,0.24,0.038,2,0,2,2,75.4,0.41,0,0,0,0,0,0,0,0,0.09,0,0,0,4.343,8.005,1.54,107,0
371,"PORK,FRSH,LOIN,CNTR LOIN (CHOPS),BONE-IN,LN,CKD,PAN-FRIED",62.17,195,29.56,7.66,1.33,0,0,0,51,0.99,24,268,378,99,3.42,0.118,0.013,43.7,0,0.567,0.395,9.667,1.357,0.562,0,0,0,0,110.6,0.8,10,3,3,0,0,0,0,0,0.22,0.5,20,0,2.597,3.028,1.059,78,1
372,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN,CKD,PAN-FRIED",61.14,211,28.84,9.73,1.29,0,0,0,45,0.88,21,237,335,88,3.03,0.105,0.012,38.7,0,0.553,0.385,9.432,1.324,0.548,0,0,0,0,96.6,0.79,10,3,3,0,0,0,0,0,0.26,0.5,21,0,2.563,5.759,1.408,77,1
373,"PORK,FRSH,LOIN,BLADE (CHOPS),BONE-IN,LN&FAT,CKD,PAN-FRIED",58.01,256,25.02,16.56,1.23,0,0,0,48,0.84,20,226,318,85,2.88,0.105,0.011,36.7,0,0.485,0.335,8.311,1.166,0.476,0,0,0,0,80.4,0.72,17,5,5,0,0,0,0,0,0.2,0.7,27,0,4.266,9.466,2.83,82,1
374,"PORK,FRSH,LOIN,CNTR LOIN CHOPS,BONE-IN,LN&FAT,CKD,PAN-FRIED",58.39,238,27.63,13.32,1.26,0,0,0,53,0.93,23,251,353,94,3.2,0.118,0.012,40.8,0,0.536,0.369,9.186,1.288,0.525,0,0,0,0,102.5,0.79,17,5,5,0,0,0,0,0,0.2,0.6,25,0,4.867,5.478,2.127,79,1
375,"PORK,FRSH,LOIN,CNTR RIB (CHOPS),BONE-IN,LN&FAT,CKD,PAN-FRIED",57.11,256,26.81,15.71,1.22,0,0,0,48,0.83,20,222,313,84,2.83,0.106,0.011,36.1,0,0.521,0.358,8.931,1.252,0.51,0,0,0,0,89.3,0.78,18,6,6,0,0,0,0,0,0.23,0.7,26,0,5.056,5.68,2.218,78,1
376,"PORK,FRSH,BACKRIBS,LN&FAT,RAW",63.47,224,19.07,16.33,1.03,0,0,0,31,0.76,16,154,247,87,2.54,0.091,0.008,30.7,0,0.457,0.305,6.776,0.818,0.422,0,0,0,0,65.5,0.56,22,7,7,0,0,0,0,0,0.24,1.1,42,0,5.783,6.861,2.676,69,1
377,"PORK,FRSH,BACKRIBS,LN&FAT,CKD,RSTD",54.82,292,23.01,21.51,1.04,0,0,0,46,0.92,17,165,240,94,3.07,0.107,0.01,32.2,0,0.46,0.331,7.636,1.26,0.413,0,0,0,0,78.6,0.74,20,6,6,0,0,0,0,0,0.25,1.2,48,0,7.8,9.29,3.529,84,1
378,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN&FAT,RAW",68.22,189,19.34,11.82,0.95,0,0,0,22,0.85,21,193,318,63,2.78,0.078,0.011,32.3,0,0.375,0.253,3.082,1.609,0.539,0,0,0,0,81.4,1,8,2,2,0,0,0,0,0,0.23,0.7,29,0,2.37,2.762,0.966,74,1
379,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,RAW",72.84,140,20.76,5.64,1.01,0,0,0,21,0.9,23,204,338,67,3,0.083,0.012,34.8,0,0.394,0.271,3.097,1.737,0.577,0,0,0,0,87.3,1.01,0,0,0,0,0,0,0,0,0.25,0.5,22,0,2.012,2.477,0.645,74,1
380,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN&FAT,RAW",70.14,166,21.34,8.33,0.97,0,0,0,7,0.53,24,216,358,47,1.73,0.056,0.007,26.5,0,0.426,0.181,5.566,0.722,0.718,0,0,0,0,57.3,0.54,5,2,2,0,0,0,0,0,0.12,0.5,21,0,1.598,1.861,0.651,64,1
381,"PORK,FRSH,LOIN,TOP LOIN (ROASTS),BNLESS,LN,RAW",73.28,132,22.39,4.06,1.01,0,0,0,5,0.54,26,225,374,49,1.8,0.058,0.007,27.7,0,0.443,0.187,5.745,0.745,0.755,0,0,0,0,59.5,0.51,0,0,0,0,0,0,0,0,0.13,0.4,16,0,1.248,1.595,0.409,63,1
382,"PORK,CURED,HAM,SLICE,BONE-IN,LN,HTD,PAN-BROIL",65.33,148,27.18,4.09,3.17,0.74,0,0.74,15,1.42,25,296,427,870,3.04,0.426,0.022,25.3,0,0.575,0.317,7.767,0.758,0.54,2,0,2,2,112.9,0.66,0,0,0,0,0,0,0,0,0.3,1.1,44,0,1.253,1.613,0.644,73,2
383,"PORK,CURED,HAM W/ NAT JUICES,SPIRL SLCE,BNLES,LN & FAT,UNHTD",70.62,129,18.66,5.75,4.27,1.18,0,1.18,4,0.75,19,276,310,881,1.63,0.168,0.001,36.8,0,0.391,0.187,5.575,0.017,0.356,1,0,1,1,75.8,0.43,39,12,12,0,0,0,0,0,0.2,0.7,27,0,1.833,2.513,0.902,57,2
384,"PORK,CURED,HAM,SHANK,BONE-IN,LN,HTD,RSTD",67.46,139,26.49,3.68,2.88,0.68,0,0.68,7,1.54,23,269,378,828,2.78,0.135,0.027,24.4,0,0.484,0.326,7.397,0.68,0.472,1,0,1,1,106,0.61,0,0,0,0,0,0,0,0,0.33,0.9,34,0,1.134,1.433,0.592,70,2
385,"PORK,CURED,HAM,SHANK,BONE-IN,LN & FAT,HTD,RSTD",63.67,191,24.39,9.35,2.8,0.64,0,0.64,7,1.42,22,257,356,810,2.59,0.158,0.026,23.4,0,0.46,0.298,6.885,0.648,0.44,1,0,1,1,93.5,0.58,5,1,1,0,0,0,0,0,0.33,1,39,0,3.018,4.082,1.288,70,2
386,"PORK,CURED,HAM,SLICE,BONE-IN,LN & FAT,HTD,PAN-BROIL",62.57,181,25.48,8.48,3.08,0.7,0,0.7,14,1.34,25,285,405,852,2.87,0.417,0.022,24.4,0,0.547,0.296,7.333,0.726,0.509,2,0,2,2,102.4,0.63,4,1,1,0,0,0,0,0,0.3,1,40,0,2.75,3.838,1.043,73,2
387,"PORK,FRSH,SHLDR,(BSTN BUTT),BLDE (STKS),LN,W/ ADDED SOLN,RAW",74.85,122,18.29,5.36,1.32,0.18,0,0,14,1.04,19,223,419,165,3.1,0.125,0.01,28.8,0,0.512,0.367,3.837,1.531,0.509,0,0,0,0,76.9,0.89,0,0,0,0,0,0,0,0,0.23,0.5,21,0,1.873,2.329,0.581,59,1
388,"PORK,FRSH,LOIN,TP LN (CHPS),BNLSS,LN & FT,W/ ADDED SLN,RAW",68.65,171,19.45,10.26,1.55,0,0,0,9,0.42,21,244,489,251,1.22,0.049,0.01,42.8,0,0.475,0.195,7.178,0.731,0.467,0,0,0,0,53,0.56,0,0,0,0,0,0,0,0,0.2,0.3,12,0,2.53,5.801,1.925,56,2
389,"PORK,FRSH,SHDR,(BSTN BTT),BLDE(STKS),LN & FT,W/ADDED SLN,RAW",70.36,169,17.19,11.12,1.25,0.16,0,0,15,0.97,18,211,391,155,2.83,0.116,0.01,26.6,0,0.474,0.335,3.763,1.418,0.48,0,0,0,0,71.7,0.96,0,0,0,0,0,0,0,0,0.21,0.5,18,0,3.912,4.686,1.434,62,1
390,"PORK,FRSH,SHDR,(BSTN BT),BLDE(STKS),LN&FT,WADDEDSLN,CKD,BRSD",56.13,263,25.84,16.94,1.19,0.03,0,0,27,1.72,20,227,370,151,4.48,0.192,0.012,42.3,0,0.406,0.357,3.61,1.329,0.463,0,0,0,0,106.2,0.98,0,0,0,0,0,0,0,0,0.12,1.1,44,0,6.288,7.613,2.006,97,1
391,"PORK,GROUND,84% LN / 16% FAT,RAW",64.67,218,17.99,16,0.91,0.44,0,0,15,0.88,16,161,244,68,1.91,0.032,0.01,30.2,0,0.332,0.338,6.416,0.639,0.551,2,0,2,2,61.5,0.73,0,0,0,0,0,0,0,0,0.45,0.4,17,0,4.93,6.68,2.05,68,1
392,"PORK,GROUND,96% LN / 4% FAT,RAW",73.62,121,21.1,4,1.07,0.21,0,0,15,0.86,19,190,310,67,1.93,0.033,0.01,34.8,0,0.414,0.368,7.914,0.646,0.668,2,0,2,2,71.7,0.64,0,0,0,0,0,0,0,0,0.29,0.1,4,0,1.42,1.89,0.66,59,1
393,"PORK,GROUND,84% LN / 16% FAT,CKD,CRUMBLES",51.35,289,26.69,20.04,1.34,0.58,0,0,20,1.1,23,226,354,89,2.57,0.04,0.013,42.4,0,0.421,0.486,9.286,0.915,0.613,1,0,1,1,89.7,1.02,0,0,0,0,0,0,0,0,0.31,0.5,20,0,6.631,9.021,2.549,89,1
394,"PORK LOIN,FRSH,BACKRIBS,BONE-IN,RAW,LN",68.57,172,20.85,9.84,1.1,0,0,0,26,0.84,17,165,268,95,2.73,0.091,0.009,33.3,0,0.496,0.331,7.247,0.855,0.465,0,0,0,0,71.6,0.54,11,3,3,0,0,0,0,0,0.2,0.9,38,0,3.477,4.278,1.532,66,1
395,"PORK LOIN,FRSH,BACKRIBS,BONE-IN,COOKED-ROASTED,LN",57.58,255,24.15,17.65,1.08,0,0,0,44,0.96,17,171,249,98,3.24,0.107,0.011,33.7,0,0.479,0.348,7.883,1.314,0.433,0,0,0,0,83,0.75,15,4,4,0,0,0,0,0,0.27,1.2,46,0,6.221,7.646,2.788,84,1
396,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN,BONE-IN,CKD,BRLD",59.98,216,27.83,11.65,1.1,0,0,0,61,1.02,24,284,370,84,3.73,0.117,0.012,42.9,0,0.571,0.367,9.152,1.275,0.575,0,0,0,0,79.1,0.73,9,3,3,0,0,0,0,0,0.26,1.1,44,0,3.096,3.61,1.262,89,1
397,"PORK,FRSH,LOIN,COUNTRY-STYLE RIBS,LN & FAT,BONE-IN,CKD,BRLD",56.32,260,25.58,17.56,1.02,0,0,0,57,0.96,22,265,344,81,3.41,0.114,0.011,39.5,0,0.532,0.348,8.497,1.192,0.534,0,0,0,0,74,0.71,17,5,5,0,0,0,0,0,0.23,1.2,47,0,5.311,6.366,2.378,87,1
398,"ALFALFA SEEDS,SPROUTED,RAW",92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0,0
399,"BAMBOO SHOOTS,RAW",91,27,2.6,0.3,0.9,5.2,2.2,3,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,0,20,1,0,0,12,0,0,0,1,0,0,0,0.069,0.007,0.134,0,0
400,"BAMBOO SHOOTS,CND,DRND SOL",94.32,19,1.72,0.4,0.34,3.22,1.4,1.89,8,0.32,4,25,80,7,0.65,0.114,0.157,0.5,1.1,0.026,0.026,0.14,0.092,0.136,3,0,3,3,0,0,13,1,0,0,8,0,0,0,0.63,0,0,0,0.092,0.009,0.178,0,0
401,"LIMA BNS,IMMAT SEEDS,RAW",70.24,113,6.84,0.86,1.89,20.17,4.9,1.48,34,3.14,58,136,467,8,0.78,0.318,1.215,1.8,23.4,0.217,0.103,1.474,0.247,0.204,34,0,34,34,40,0,209,10,0,0,126,0,0,0,0.32,0,0,5.6,0.198,0.05,0.419,0,0
402,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",67.17,123,6.81,0.32,2.06,23.64,5.4,1.63,32,2.45,74,130,570,17,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,26,26,44.1,0,303,15,0,0,182,0,0,0,0.14,0,0,6.2,0.073,0.019,0.154,0,2
403,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,UNPREP",72.05,106,6.4,0.35,1.37,19.83,5.5,1.39,24,1.51,38,74,478,58,0.49,0.062,0.345,1.7,19.3,0.092,0.067,1.187,0.191,0.136,32,0,32,32,37.6,0,223,11,0,0,134,0,0,0,0.72,0,0,5.3,0.081,0.021,0.172,0,0
404,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,WO/SALT",72.98,103,6.07,0.34,1.3,19.32,5.3,1.34,30,1.82,42,97,304,69,0.74,0.17,0.648,0.6,12.8,0.074,0.061,1.069,0.163,0.122,21,0,21,21,36.3,0,190,10,0,0,114,0,0,0,0.29,0,0,5.1,0.077,0.02,0.163,0,0
405,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,WO/SALT",72.35,105,6.65,0.3,1.25,19.45,4.8,1.37,28,1.96,56,112,411,29,0.55,0.197,0.813,1.7,5.8,0.07,0.055,0.77,0.177,0.115,16,0,16,16,37.2,0,167,8,0,0,100,0,0,0,0.64,0,0,5.2,0.068,0.017,0.145,0,0
406,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",90.4,30,3.04,0.18,0.44,5.94,1.8,4.13,13,0.91,21,54,149,6,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61,0,61,61,14.4,0,21,1,0,6,6,6,0,0,0.1,0,0,33,0.046,0.022,0.058,0,0
407,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",93.39,21,2.03,0.09,0.3,4.19,0.8,2.84,12,0.65,14,28,101,10,0.47,0.122,0.14,0.6,11.4,0.05,0.102,0.817,0.243,0.054,29,0,29,29,9.9,0,13,1,0,4,4,4,0,0,0.07,0,0,22.7,0.025,0.012,0.032,0,0
408,"BEANS,SHELLIE,CND,SOL & LIQUIDS",90.69,30,1.76,0.19,1.17,6.19,3.4,0.63,29,0.99,15,30,109,334,0.27,0.08,0.382,2.1,3.1,0.032,0.054,0.205,0.133,0.049,18,0,18,18,13.2,0,228,11,0,0,137,0,0,331,0.03,0,0,8,0.023,0.014,0.11,0,2
409,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,42,0.66,19,29,159,1,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,419,21,0,55,224,0,0,508,0.04,0,0,38.1,0.044,0.008,0.083,0,2
410,"BEETS,CND,REG PK,SOL&LIQUIDS",91.3,30,0.73,0.09,0.74,7.14,1.2,6.53,18,0.73,18,15,159,143,0.34,0.043,0.411,0.1,2.8,0.01,0.038,0.151,0.15,0.055,29,0,29,29,7.2,0,23,1,0,0,14,0,0,0,0.03,0,0,0.2,0.011,0.013,0.025,0,2
411,"BEETS,CND,DRND SOL",90.96,31,0.91,0.14,0.78,7.21,1.8,5.51,15,1.82,17,17,148,194,0.21,0.059,0.287,0.5,4.1,0.01,0.04,0.157,0.156,0.057,30,0,30,30,7.5,0,24,1,0,0,15,0,0,0,0.03,0,0,0.2,0.022,0.027,0.049,0,2
412,"BURDOCK ROOT,RAW",80.09,72,1.53,0.15,0.89,17.34,3.3,2.9,41,0.8,38,51,308,5,0.33,0.077,0.232,0.7,3,0.01,0.03,0.3,0.321,0.24,23,0,23,23,11.7,0,0,0,0,0,0,0,0,0,0.38,0,0,1.6,0.025,0.037,0.059,0,0
413,"BURDOCK ROOT,CKD,BLD,DRND,WO/SALT",75.64,88,2.09,0.14,0.98,21.15,1.8,3.55,49,0.77,39,93,360,4,0.38,0.089,0.27,0.9,2.6,0.039,0.058,0.32,0.353,0.279,20,0,20,20,14.3,0,0,0,0,0,0,0,0,0,0.46,0,0,2,0.023,0.035,0.055,0,0
414,"CASSAVA,RAW",59.68,160,1.36,0.28,0.62,38.06,1.8,1.7,16,0.27,21,27,271,14,0.34,0.1,0.384,0.7,20.6,0.087,0.048,0.854,0.107,0.088,27,0,27,27,23.7,0,13,1,0,0,8,0,0,0,0.19,0,0,1.9,0.074,0.075,0.048,0,0
415,"CELERIAC,RAW",88,42,1.5,0.3,1,9.2,1.8,1.6,43,0.7,20,115,300,100,0.33,0.07,0.158,0.7,8,0.05,0.06,0.7,0.352,0.165,8,0,8,8,9,0,0,0,0,0,0,0,0,1,0.36,0,0,41,0.079,0.058,0.148,0,0
416,"CELERY,RAW",95.43,16,0.69,0.17,0.75,2.97,1.6,1.34,40,0.2,11,24,260,80,0.13,0.035,0.103,0.4,3.1,0.021,0.057,0.32,0.246,0.074,36,0,36,36,6.1,0,449,22,0,0,270,0,0,283,0.27,0,0,29.3,0.042,0.032,0.079,0,2
417,"CELERY,CKD,BLD,DRND,WO/SALT",94.11,18,0.83,0.16,0.9,4,1.6,2.37,42,0.42,12,25,284,91,0.14,0.036,0.106,1,6.1,0.023,0.07,0.372,0.317,0.086,33,0,33,33,7.9,0,521,26,0,0,313,0,0,329,0.35,0,0,37.8,0.04,0.03,0.075,0,2
418,"CHAYOTE,FRUIT,CKD,BLD,DRND,WO/SALT",93.43,24,0.62,0.48,0.38,5.09,2.8,1.89,13,0.22,12,29,173,1,0.31,0.11,0.169,0.3,8,0.026,0.04,0.42,0.408,0.118,18,0,18,18,10.5,0,0,0,0,0,0,0,0,0,0.14,0,0,4.7,0,0,0,0,0
419,"CUCUMBER,PEELED,RAW",96.73,12,0.59,0.16,0.36,2.16,0.7,1.38,14,0.22,12,21,136,2,0.17,0.071,0.073,0.1,3.2,0.031,0.025,0.037,0.24,0.051,14,0,14,14,5.7,0,72,4,0,8,31,18,0,16,0.03,0,0,7.2,0.013,0.002,0.003,0,0
420,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3,3.53,9,0.23,14,24,229,2,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22,0,22,22,6.9,0,23,1,0,0,14,0,0,36,0.3,0,0,3.5,0.034,0.016,0.076,0,0
421,"EGGPLANT,CKD,BLD,DRND,WO/SALT",89.67,35,0.83,0.23,0.54,8.73,2.5,3.2,6,0.25,11,15,123,1,0.12,0.059,0.113,0.1,1.3,0.076,0.02,0.6,0.075,0.086,14,0,14,14,9.4,0,37,2,0,0,22,0,0,0,0.41,0,0,2.9,0.044,0.02,0.093,0,0
422,"GINGER ROOT,RAW",78.89,80,1.82,0.75,0.77,17.77,2,1.7,16,0.6,43,34,415,13,0.34,0.226,0.229,0.7,5,0.025,0.034,0.75,0.203,0.16,11,0,11,11,28.8,0,0,0,0,0,0,0,0,0,0.26,0,0,0.1,0.203,0.154,0.154,0,0
423,"JERUSALEM-ARTICHOKES,RAW",78.01,73,2,0.01,2.54,17.44,1.6,9.6,14,3.4,17,78,429,4,0.12,0.14,0.06,0.7,4,0.2,0.06,1.3,0.397,0.077,13,0,13,13,30,0,20,1,0,0,12,0,0,0,0.19,0,0,0.1,0,0.004,0.001,0,0
424,"MUSHROOMS,PORTABELLA,GRILLED",90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3,0.4,13,135,437,11,0.65,0.389,0.067,21.9,0,0.072,0.403,6.255,1.262,0.122,19,0,19,19,32.8,0,0,0,0,0,0,0,0,0,0,0.3,14,0,0.064,0.009,0.232,0,0
425,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18,0.41,7,20,141,10,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29,0,29,29,6.7,0,502,25,0,4,299,0,0,277,0.18,0,0,24.1,0.018,0.006,0.074,0,2
426,"MUSHROOMS,WHITE,RAW",92.45,22,3.09,0.34,0.85,3.26,1,1.98,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0.04,0,0,0,0,0,0,0,0,0.01,0.2,7,0,0.05,0,0.16,0,0
427,"MUSHROOMS,WHITE,STIR-FRIED",91.1,26,3.58,0.33,0.94,4.04,1.8,0,4,0.25,11,105,396,12,0.57,0.291,0.047,13.9,0,0.096,0.463,3.987,1.45,0.042,20,0,20,20,21.9,0,0,0,0,0,0,0,0,0,0,0.2,8,0,0.04,0,0.16,0,0
428,"MUSHROOMS,CND,DRND SOL",91.08,25,1.87,0.29,1.67,5.09,2.4,2.34,11,0.79,15,66,129,425,0.72,0.235,0.086,4.1,0,0.085,0.021,1.593,0.811,0.061,12,0,12,12,20.4,0,0,0,0,0,0,0,0,0,0.01,0.2,8,0,0.038,0.005,0.113,0,2
429,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18,0.4,9,120,448,6,1.1,0.5,0.142,26,0,0.095,0.49,3.8,1.5,0.11,25,0,25,25,22.1,0.1,0,0,0,0,0,0,0,0,0.01,0.1,3,0,0.014,0.002,0.042,0,0
430,"MUSHROOMS,SHIITAKE,STIR-FRIED",87.74,39,3.45,0.35,0.78,7.68,3.6,0.3,2,0.53,19,111,326,5,0.96,0.163,0.223,6.3,0,0.099,0.274,3.87,1.36,0.174,14,0,14,14,59.4,0,0,0,0,0,0,0,0,0,0,0.5,21,0,0.03,0,0.14,0,0
431,"OKRA,RAW",89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23,0.2,0.06,1,0.245,0.215,60,0,60,60,12.3,0,716,36,0,27,416,0,0,280,0.27,0,0,31.3,0.026,0.017,0.027,0,2
432,"OKRA,CKD,BLD,DRND,WO/SALT",92.57,22,1.87,0.21,0.84,4.51,2.5,2.4,77,0.28,36,32,135,6,0.43,0.085,0.294,0.4,16.3,0.132,0.055,0.871,0.213,0.187,46,0,46,46,8.7,0,283,14,0,0,170,0,0,390,0.27,0,0,40,0.045,0.028,0.046,0,2
433,"ONIONS,RAW",89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,0
434,"ONIONS,CKD,BLD,DRND,WO/SALT",87.86,44,1.36,0.19,0.44,10.15,1.4,4.73,22,0.24,11,35,166,3,0.21,0.067,0.153,0.6,5.2,0.042,0.023,0.165,0.113,0.129,15,0,15,15,6.8,0,2,0,0,0,1,0,0,4,0.02,0,0,0.5,0.031,0.027,0.073,0,0
435,"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",92.24,28,0.77,0.1,0.3,6.59,1.8,2.9,16,0.3,6,19,108,12,0.07,0.019,0.071,0.4,2.6,0.023,0.025,0.139,0.099,0.069,13,0,13,13,4.4,0,2,0,0,0,1,0,0,3,0.01,0,0,0.3,0.016,0.013,0.038,0,0
436,"ONIONS,FRZ,WHL,UNPREP",90.22,35,0.89,0.06,0.38,8.45,1.7,3.81,36,0.46,10,23,142,10,0.12,0.05,0.125,0.4,8,0.026,0.024,0.175,0.099,0.093,21,0,21,21,5.5,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.011,0.009,0.025,0,0
